minutes,fid
1.510805955,0.422995292
1.511639273,0.423429743
1.512472592,0.424799827
1.51330591,0.425833766
1.514139228,0.426232206
1.514972546,0.424562867
1.515805865,0.421316718
1.516639183,0.418147357
1.517472501,0.418083964
1.518305819,0.419845525
1.519139138,0.421520187
1.519972456,0.420866071
1.520805774,0.42029981
1.521639092,0.421972016
1.52247241,0.425435834
1.523305729,0.426376729
1.524139047,0.42610519
1.524972365,0.424868752
1.525805683,0.42660898
1.526639002,0.427382731
1.52747232,0.426395171
1.528305638,0.42492221
1.529138956,0.422523616
1.529972275,0.420406056
1.530805593,0.419252684
1.531638911,0.419416846
1.532472229,0.419136918
1.533305548,0.417820136
1.534138866,0.418459597
1.534972184,0.419297692
1.535805502,0.419005732
1.53663882,0.419037905
1.537472139,0.420289578
1.538305457,0.42187855
1.539138775,0.423175568
1.539972093,0.423803418
1.540805412,0.426278524
1.54163873,0.426060864
1.542472048,0.425087448
1.543305366,0.422064776
1.544138685,0.419560227
1.544972003,0.417577055
1.545805321,0.416534083
1.546638639,0.416922289
1.547471957,0.418872207
1.548305276,0.418834013
1.549138594,0.417391197
1.549971912,0.416451503
1.55080523,0.416674509
1.551638549,0.418603693
1.552471867,0.42110441
1.553305185,0.423106439
1.554138503,0.4251047
1.554971822,0.425368318
1.55580514,0.427738057
1.556638458,0.428449263
1.557471776,0.427866869
1.558305094,0.425616764
1.559138413,0.423389237
1.559971731,0.421647954
1.560805049,0.41917796
1.561638367,0.416659289
1.562471686,0.413761473
1.563305004,0.413575834
1.564138322,0.414655174
1.56497164,0.416917025
1.565804959,0.417387697
1.566638277,0.416715337
1.567471595,0.416242421
1.568304913,0.417994682
1.569138231,0.420767433
1.56997155,0.421844572
1.570804868,0.421022212
1.571638186,0.418660518
1.572471504,0.418168658
1.573304823,0.418321053
1.574138141,0.420200714
1.574971459,0.420369543
1.575804777,0.418571704
1.576638096,0.415822622
1.577471414,0.415235372
1.578304732,0.416599101
1.57913805,0.418197929
1.579971369,0.417473713
1.580804687,0.416574552
1.581638005,0.41505737
1.582471323,0.414838853
1.583304641,0.415486782
1.58413796,0.415909421
1.584971278,0.416056116
1.585804596,0.414731556
1.586637914,0.414662184
1.587471233,0.414014046
1.588304551,0.412977863
1.589137869,0.411886969
1.589971187,0.413882964
1.590804506,0.416831837
1.591637824,0.417008577
1.592471142,0.41633316
1.59330446,0.416659055
1.594137778,0.41943125
1.594971097,0.419623201
1.595804415,0.417950996
1.596637733,0.41747238
1.597471051,0.416408453
1.59830437,0.416443203
1.599137688,0.415629476
1.599971006,0.416734705
1.600804324,0.414865866
1.601637643,0.412438728
1.602470961,0.411604156
1.603304279,0.413614029
1.604137597,0.415345102
1.604970915,0.414611664
1.605804234,0.414147025
1.606637552,0.413590231
1.60747087,0.414525304
1.608304188,0.414505421
1.609137507,0.416286205
1.609970825,0.418147767
1.610804143,0.417998329
1.611637461,0.418085979
1.61247078,0.416744141
1.613304098,0.417925781
1.614137416,0.418207876
1.614970734,0.417330915
1.615804053,0.415519532
1.616637371,0.414514016
1.617470689,0.4140588
1.618304007,0.411882773
1.619137325,0.408406024
1.619970644,0.406215585
1.620803962,0.406941691
1.62163728,0.407005564
1.622470598,0.40764287
1.623303917,0.406864432
1.624137235,0.40727736
1.624970553,0.408332444
1.625803871,0.409850239
1.62663719,0.409890568
1.627470508,0.410004596
1.628303826,0.409813158
1.629137144,0.408555608
1.629970462,0.405868248
1.630803781,0.404210698
1.631637099,0.405296849
1.632470417,0.4063855
1.633303735,0.407360772
1.634137054,0.408790645
1.634970372,0.409540073
1.63580369,0.407151491
1.636637008,0.402280897
1.637470327,0.39898597
1.638303645,0.40144352
1.639136963,0.406043682
1.639970281,0.408226133
1.640803599,0.40588875
1.641636918,0.401883545
1.642470236,0.400668151
1.643303554,0.398865646
1.644136872,0.398377741
1.644970191,0.396485703
1.645803509,0.397415609
1.646636827,0.398769748
1.647470145,0.401017332
1.648303464,0.403814883
1.649136782,0.407556645
1.6499701,0.410172473
1.650803418,0.411990346
1.651636736,0.41221323
1.652470055,0.413975413
1.653303373,0.414121497
1.654136691,0.411698192
1.654970009,0.406358532
1.655803328,0.401937016
1.656636646,0.399627389
1.657469964,0.398561906
1.658303282,0.396106401
1.659136601,0.39443064
1.659969919,0.395313058
1.660803237,0.39807653
1.661636555,0.398326959
1.662469874,0.397842998
1.663303192,0.397910416
1.66413651,0.400037944
1.664969828,0.399780628
1.665803146,0.399342378
1.666636465,0.401261262
1.667469783,0.403919968
1.668303101,0.404326519
1.669136419,0.401041025
1.669969738,0.400274942
1.670803056,0.400389726
1.671636374,0.400244121
1.672469692,0.398027472
1.673303011,0.397395134
1.674136329,0.398093318
1.674969647,0.396663513
1.675802965,0.393553096
1.676636283,0.39040158
1.677469602,0.38857872
1.67830292,0.390705037
1.679136238,0.393695832
1.679969556,0.396339605
1.680802875,0.394981256
1.681636193,0.393104162
1.682469511,0.391992757
1.683302829,0.392562274
1.684136148,0.395235313
1.684969466,0.396845853
1.685802784,0.398820926
1.686636102,0.397172232
1.68746942,0.397740671
1.688302739,0.3971974
1.689136057,0.398635661
1.689969375,0.397712734
1.690802693,0.395966907
1.691636012,0.39524418
1.69246933,0.395094486
1.693302648,0.396595837
1.694135966,0.396357754
1.694969285,0.395844704
1.695802603,0.394535344
1.696635921,0.393854561
1.697469239,0.391614023
1.698302558,0.387506584
1.699135876,0.384949291
1.699969194,0.384009852
1.700802512,0.38554027
1.70163583,0.386090142
1.702469149,0.387976337
1.703302467,0.389958355
1.704135785,0.392191083
1.704969103,0.393871578
1.705802422,0.393645029
1.70663574,0.393117912
1.707469058,0.391336808
1.708302376,0.391891469
1.709135695,0.392599931
1.709969013,0.391822159
1.710802331,0.391289921
1.711635649,0.389930749
1.712468967,0.392255822
1.713302286,0.395088828
1.714135604,0.394699246
1.714968922,0.393852129
1.71580224,0.391380202
1.716635559,0.389411586
1.717468877,0.387541492
1.718302195,0.386314432
1.719135513,0.387072905
1.719968832,0.387665388
1.72080215,0.386003095
1.721635468,0.38560539
1.722468786,0.386965251
1.723302104,0.390316891
1.724135423,0.392864264
1.724968741,0.392515736
1.725802059,0.391186854
1.726635377,0.389967682
1.727468696,0.389465844
1.728302014,0.390991461
1.729135332,0.392446589
1.72996865,0.393019862
1.730801969,0.391228591
1.731635287,0.388167086
1.732468605,0.385918569
1.733301923,0.385427698
1.734135241,0.386802926
1.73496856,0.386427221
1.735801878,0.386942938
1.736635196,0.387874922
1.737468514,0.389214529
1.738301833,0.388687901
1.739135151,0.388504807
1.739968469,0.391180814
1.740801787,0.394461098
1.741635106,0.394744193
1.742468424,0.39208011
1.743301742,0.388786583
1.74413506,0.388200578
1.744968379,0.389837339
1.745801697,0.391758257
1.746635015,0.391852574
1.747468333,0.39268628
1.748301651,0.392500697
1.74913497,0.394064048
1.749968288,0.392782521
1.750801606,0.392757982
1.751634924,0.393411444
1.752468243,0.395756561
1.753301561,0.394884201
1.754134879,0.390999296
1.754968197,0.387649113
1.755801516,0.386534419
1.756634834,0.388132992
1.757468152,0.389331954
1.75830147,0.389392926
1.759134788,0.388430733
1.759968107,0.387337472
1.760801425,0.388693778
1.761634743,0.390688162
1.762468061,0.391976302
1.76330138,0.391089941
1.764134698,0.388955269
1.764968016,0.388474931
1.765801334,0.390400626
1.766634653,0.392360388
1.767467971,0.393580627
1.768301289,0.393167278
1.769134607,0.391372906
1.769967925,0.389030346
1.770801244,0.388477174
1.771634562,0.391190214
1.77246788,0.393513153
1.773301198,0.394984592
1.774134517,0.394874021
1.774967835,0.39502016
1.775801153,0.394430366
1.776634471,0.393446739
1.77746779,0.392220168
1.778301108,0.391827363
1.779134426,0.392265813
1.779967744,0.392526797
1.780801063,0.393282314
1.781634381,0.393906898
1.782467699,0.394055749
