filmtype,dart,elongation-MD,elongation-TD,modulus-MD,modulus-TD,strength-MD,strength-TD
BOPP,0.338955,97,22.99,1246,2145,63,135
BOPP,0.3660714,102,29.57,1327,2153,64,142
BOPP,0.3525132,105,27.42,1284,2152,65,136
BOPP,0.338955,99,28.5,1260,2292,64,137
BOPP,0.745701,175,30.81,1820,2743,99,190
BOPP,0.5694444,179,23.51,1727,2899,108,174
BOPP,0.745701,159,35.24,1760,2922,100,222
BOPP,0.7185846,185,31.15,1722,2668,110,188
BOPP,0.7321428,206,40.34,1818,2842,111,219
BOPP,0.4338624,201,26.27,1972,3835,137,293
BOPP,0.5152116,194,17.24,2004,4039,133,226
BOPP,0.474537,197,23.38,1966,4263,147,259
BOPP,0.542328,201,23.91,1983,4006,135,254
BOPP,0.5558862,147,13.74,1995,3880,119,198
BOPP,0.9761904,144,16.2,1591,2510,88,127
BOPP,0.6236772,126,22.28,1572,2465,79,151
BOPP,0.5694444,112,14.9,1523,2544,75,122
BOPP,0.9897486,139,16.31,1579,2556,87,126
BOPP,0.474537,123,23.82,1591,2449,78,158
BOPP,1.0710978,202,57.65,1996,2856,107,212
BOPP,1.0982142,209,47.82,1931,2927,112,197
BOPP,1.0439814,203,41.67,1960,2860,110,194
BOPP,1.0439814,199,47.75,1964,2817,106,203
BOPP,0.9897486,214,52.3,1954,2832,109,206
BOPP,0.745701,162,27.83,1936,2756,94,183
BOPP,0.8677248,172,31.86,1673,2909,102,210
BOPP,0.9083994,233,31.81,1707,2812,121,202
BOPP,0.8541666,206,25.06,1814,2836,111,184
BOPP,0.7999338,225,32.84,1945,2718,116,213
BOPP,0.7592592,171,48.2,1935,3456,149,255
BOPP,0.7592592,164,51.32,2266,3505,146,255
BOPP,0.7728174,166,48.12,2230,3289,142,243
BOPP,0.7999338,179,60.99,2199,3428,149,274
BOPP,0.7321428,150,58.06,2201,3220,134,273
BOPP,0.7050264,175,12.45,1845,3094,141,134
BOPP,0.6236772,155,29.97,1809,3107,123,227
BOPP,0.610119,173,20.45,1815,2992,126,190
BOPP,0.6914682,179,24.62,1795,2976,139,181
BOPP,0.5558862,183,13.6,1867,2948,126,131
BOPP,1.4371692,196.5,37.925,1787.5,3132.5,120,229.5
BOPP,1.152447,203.5,31.815,1856.5,3200.5,120.5,248
BOPP,1.3287036,231.5,29.38,1839,3184.5,132,209
BOPP,1.4371692,200.5,26.375,1804,2956.5,120.5,199.5
BOPP,1.220238,202.5,28.56,1855.5,3020,120,202
BOPP,0.67791,164,87.03,3729,4422,145,176
BOPP,0.6643518,159,100.99,3689,4442,144,181
BOPP,0.6914682,156,91.91,3706,4328,142,178
BOPP,0.7050264,139,103.23,3785,4366,133,185
BOPP,0.6643518,155,96.02,3677,4414,140,185
BOPP,0.4880952,133,52.47,1887,3116,120,245
BOPP,0.6914682,174,54.93,1842,2945,133,258
BOPP,0.5830026,128,48.69,1888,2924,115,252
BOPP,0.7050264,143,40.5,1952,3041,124,226
BOPP,0.610119,122,47.11,2027,3011,111,238
BOPP,0.6643518,190,28.37,2032,3223,141,189
BOPP,0.5830026,202,14.66,2103,3111,151,138
BOPP,0.6507936,190,38.65,2074,3165,143,209
BOPP,0.6507936,190,21.98,2086,3190,144,170
BOPP,0.67791,188,27.61,2075,3241,144,185
BOPP,0.5830026,150,41.43,1974,3678,137,264
BOPP,0.5965608,184,51.48,2182,3705,150,286
BOPP,0.5694444,190,55.86,2265,3823,151,282
BOPP,0.6236772,183,45.04,2258,3910,148,269
BOPP,0.6372354,177,36.25,2380,3848,154,262
BOPP,0.6372354,197,52.48,1847,3187,145,248
BOPP,0.7321428,177,49.95,1869,2970,140,241
BOPP,0.5830026,194,52.52,1934,3137,150,247
BOPP,0.5152116,181,53.55,1767,3177,138,245
BOPP,0.745701,168,54.24,1728,3105,130,260
BOPP,0.7863756,190,61.04,1911,3146,141,268
BOPP,0.7999338,168,63.06,1967,3217,133,278
BOPP,0.7999338,178,55.52,1974,3181,142,264
BOPP,0.7863756,165,65.01,1978,3097,134,288
BOPP,0.813492,193,47.85,2007,3168,147,255
BOPP,0.745701,158,29.45,1909,3035,134,215
BOPP,0.7050264,158,24.46,1906,2893,129,194
BOPP,0.7050264,138,29.1,1915,2897,122,189
BOPP,0.745701,157,35.99,1810,3025,140,233
BOPP,0.610119,174,28.11,1933,2967,138,205
BOPP,0.7999338,140,29.76,1590,2510,91,174
BOPP,0.7728174,159,32.02,1580,2554,101,183
BOPP,0.813492,159,30.81,1580,2599,99,183
BOPP,0.7999338,146,31.13,1580,2528,97,178
BOPP,0.8270502,146,23.3,1541,2597,95,161
BOPP,0.474537,174,28.36,1863,3354,129,268
BOPP,0.3931878,172,44.98,1941,3410,133,322
BOPP,0.3253968,172,46.34,1993,3606,131,328
BOPP,0.406746,163,45.5,1881,3381,132,312
BOPP,0.5152116,167,37.59,1892,3381,125,301
BOPP,0.6507936,202,41.95,1934,3432,122,243
BOPP,0.5965608,183,51.54,1826,3430,114,253
BOPP,0.5694444,176,46.48,1937,3359,111,252
BOPP,0.5830026,184,44.46,1962,3247,113,250
BOPP,0.5830026,193,54.69,1913,3451,116,272
BOPP,0.6372354,187,36.39,2014,3248,110,223
BOPP,0.542328,173,36.4,1721,2920,105,233
BOPP,0.5830026,183,54.03,1962,3297,107,267
